id,loan_amnt,funded_amnt,int_rate,installment,total_pymnt,issue_date,loan_status,term,verification_status,addr_state
373332,9950,1000,18,360,1072,10,1,36,0,1
575239,12000,12000,20,324,959,10,1,60,1,1
707689,10000,10000,13,340,3726,2,1,36,1,0
709828,27200,27200,28,553,41913,10,1,60,0,1
849994,11400,11400,28,376,3753,3,0,36,0,1
1312426,15000,15000,15,361,2880,4,1,60,1,1
4526500,10800,10800,28,328,2950,4,1,36,1,1
6736790,18000,18000,28,370,4432,1,1,60,1,1
8138291,10350,1000,22,291,1432,2,0,60,1,1
8214572,7000,7000,28,233,7300,2,1,36,1,3
12606806,24975,24975,28,549,3831,6,1,60,1,1
13026045,12000,12000,28,275,2799,2,1,60,1,3
14187903,12000,12000,13,279,2846,2,1,60,1,1
14428496,21000,21000,28,471,5155,1,1,60,1,1
14470171,21000,21000,28,687,41913,4,1,36,1,1
14550531,32000,32000,28,1005,3089,10,1,36,1,0
14669896,21500,21500,28,482,23855,1,1,60,1,1
15389420,15000,15000,13,348,41913,3,1,60,1,3
16130931,20000,20000,13,677,21119,5,1,36,1,1
19137120,27000,27000,28,586,4075,6,1,60,1,1
19646726,28000,28000,28,863,9472,2,1,36,0,1
22403152,11200,11200,28,373,1113,2,0,36,0,2
25276116,28000,1000,28,587,7040,1,1,60,1,1
31207716,35000,35000,28,790,8674,2,1,60,1,1
31888136,4950,4950,19,183,178,11,1,36,1,3
34462112,14400,14400,28,480,5280,2,1,36,1,3
34883768,10300,10300,28,320,3839,1,1,36,0,1
35683280,22400,22400,28,686,8221,1,1,36,1,0
36169416,24000,24000,15,578,6899,1,1,60,1,0
36201872,21000,21000,28,639,7655,1,1,36,1,2
36241016,20000,20000,28,411,4934,1,1,60,1,3
36561400,9600,9600,28,309,1852,7,1,36,1,3
36763240,15000,15000,17,379,4527,1,1,60,1,0
36802496,7800,7800,28,260,3120,1,1,36,1,1
36806600,20000,20000,28,640,7665,0,1,36,1,1
36950420,14000,14000,15,340,4132,1,1,60,1,1
37011264,28000,28000,15,978,8760,1,1,36,1,1
37051228,30000,30000,28,667,8366,1,1,60,1,1
37068508,7000,7000,28,242,2905,1,1,36,1,2
37107112,25000,25000,28,766,9175,1,1,36,1,1
37257668,12000,12000,28,377,4514,1,1,36,1,1
37267744,12000,12000,28,377,4545,1,0,36,0,1
37329128,8000,1000,28,265,2911,1,1,36,0,3
37600540,8000,8000,28,251,3009,0,1,36,1,1
37601432,15000,15000,13,346,4133,1,1,60,1,1
37612108,35000,11850,17,423,5057,1,1,36,1,1
37612196,15000,15000,28,314,3809,1,1,60,1,1
37620644,24000,1000,28,735,8808,1,1,36,1,1
37621436,32000,32000,28,1165,13920,1,1,36,1,1
37621804,4700,4700,28,150,41913,1,1,36,0,1
37640408,11200,11200,19,296,1174,1,0,60,0,3
37641180,35000,28000,28,870,10426,1,1,36,1,1
37641648,35000,35000,28,1088,13048,1,1,36,1,1
37651424,5150,5150,16,182,2202,1,1,36,1,1
37652104,25000,25000,15,1372,10443,1,1,36,1,1
37671456,35000,35000,28,1088,13033,1,1,36,1,1
37671832,7500,7500,28,252,3018,1,1,36,0,1
37672124,15000,15000,28,456,5468,1,1,60,0,2
37680704,35000,35000,28,1099,13183,1,1,36,1,1
37680876,15000,15000,28,308,3693,1,1,60,1,0
37691296,25000,1000,28,514,6155,1,1,60,1,3
37691376,23600,1000,28,507,6058,1,1,60,1,3
37691996,8000,8000,28,245,8164,1,1,36,0,1
37692392,10000,10000,28,219,2622,1,1,60,0,1
37700600,26850,26850,25,801,32358,1,1,60,1,1
37730600,9600,9600,28,1372,3874,1,1,36,0,1
37731128,12000,12000,28,289,13336,1,1,60,1,1
37750228,32000,32000,14,749,9801,0,1,60,1,1
37750960,32000,32000,28,995,11909,1,1,60,1,1
37751648,24000,24000,28,735,8808,1,1,36,1,2
37752012,25000,25000,28,830,9929,1,1,36,1,2
37811576,18000,18000,28,370,4432,1,1,60,1,1
37811672,35000,35000,15,1230,13041,1,1,36,1,1
37821356,11550,11550,19,305,3645,1,1,60,0,4
37841440,25000,25000,28,812,8922,1,1,36,1,1
37866236,28000,28000,14,961,11489,1,1,36,1,1
37866544,20000,20000,28,448,5372,1,1,60,1,1
37887124,8000,8000,28,267,1592,1,0,36,0,1
37887364,15000,15000,19,391,4661,1,1,60,0,1
37907332,21300,21300,28,523,6243,1,1,60,1,1
37917304,6000,1000,28,185,2218,1,1,36,1,1
37927296,10000,10000,21,276,41913,1,1,60,1,3
37927548,35000,35000,16,1238,6130,1,0,36,1,1
37938336,18000,18000,14,1372,5087,1,1,60,1,1
37948248,12000,12000,14,415,4971,1,1,36,0,1
37948608,4800,4800,13,163,1951,0,1,36,0,1
37958256,10000,10000,28,332,4009,1,1,60,1,2
37978180,12000,12000,14,1372,7548,1,1,36,0,1
37998364,8400,8400,28,288,3446,1,1,36,0,1
37998604,24000,24000,28,509,3555,6,1,60,0,1
38018252,11200,11200,28,240,2875,1,1,60,1,1
38028516,6000,6000,15,209,6281,1,1,36,1,1
38058468,8000,1000,14,277,3314,1,1,36,0,2
38078644,35000,3875,14,134,3687,1,1,36,0,1
38098252,6000,6000,14,207,197,1,0,36,1,3
38108328,1200,1200,13,40,488,1,0,36,1,1
38141176,4750,4750,17,169,2027,1,1,60,0,3
38141960,10000,10000,15,349,10961,0,1,36,1,1
38151416,26800,26800,14,627,41913,1,1,60,1,1
38151480,25000,25000,28,760,41913,1,1,36,1,2
38151640,14475,14475,22,1372,4858,1,1,60,1,3
38162232,12000,1000,18,308,3686,1,1,60,1,3
38162496,11700,11700,21,446,5346,1,1,36,1,3
38171496,11325,11325,17,1372,3418,1,1,60,1,1
38171568,6250,6250,28,203,41913,1,1,36,0,1
38171736,28000,28000,25,838,9977,1,1,60,1,1
38171948,20000,20000,13,461,5511,1,1,60,1,1
38171992,35000,35000,25,1039,35522,1,1,60,1,1
38172140,9900,9900,28,313,3750,1,1,36,1,1
38181360,24000,24000,14,562,6709,1,1,60,1,1
38182008,20000,20000,17,721,7918,1,1,36,1,2
38191360,4750,4750,15,166,4974,1,0,36,1,1
38201232,15000,15000,28,505,1999,1,0,36,1,1
38211296,20625,20625,28,688,8238,1,1,36,1,1
38211876,32000,32000,17,810,9658,1,1,60,1,3
38212468,35000,20000,13,680,8132,1,1,36,1,1
38212616,10800,10800,20,292,3480,1,1,60,1,3
38212704,20000,20000,28,444,5324,1,1,60,1,1
38221904,5000,5000,28,153,1835,1,1,36,1,3
38232468,6225,6225,13,211,2545,1,1,36,1,2
38242032,4000,4000,14,137,1641,1,1,36,0,1
38242400,19500,19500,28,624,7474,1,1,36,1,1
38261284,7000,7000,28,217,2389,1,1,36,0,3
38261764,18000,18000,28,555,6654,1,1,36,0,4
38272060,5000,5000,14,171,2051,1,1,36,1,0
38272152,14000,14000,28,443,5303,1,1,36,1,1
38281528,10000,10000,14,346,4142,1,1,36,1,3
38282488,6000,6000,28,188,2257,1,1,36,0,4
38291244,20000,20000,28,668,14088,1,1,36,1,1
38301172,24000,1000,16,589,7034,1,1,60,1,1
38311416,15000,15000,13,346,4145,1,1,60,0,1
38311692,2500,2500,28,80,718,1,1,36,1,2
38312080,10000,10000,28,332,41913,1,1,36,1,3
38312256,12675,12675,28,278,3324,1,1,60,1,1
38321856,13000,13000,28,1372,5123,1,1,36,1,1
38341428,25000,25000,28,760,21153,1,1,36,1,1
38342108,20000,20000,19,529,20133,1,1,60,1,1
38342392,9500,9500,28,300,3598,1,0,36,0,1
38342504,35000,1000,21,966,12478,1,1,60,1,1
38362672,14525,14525,28,1372,3857,1,1,60,0,2
38382064,35000,12000,17,299,3566,1,1,60,0,1
38413636,12000,12000,28,377,4514,1,1,36,0,2
38413976,9000,9000,15,314,3490,1,1,36,1,1
38414180,35000,26050,19,690,8251,1,1,60,1,2
38414664,6000,6000,28,202,41913,1,1,36,1,1
38414904,10000,10000,28,320,3838,1,1,36,0,3
38415264,11200,11200,15,391,4296,1,1,36,1,1
38415532,18000,18000,28,565,6779,1,1,36,1,1
38416308,8500,8500,14,291,3203,1,1,60,1,1
38417016,20000,20000,15,482,5258,0,1,60,1,1
38417248,8000,8000,28,1372,2919,1,1,36,0,4
38417512,15000,15000,18,385,4593,1,0,60,0,1
38417816,21600,21600,15,520,3606,1,0,60,1,2
38419044,18000,18000,28,551,6054,1,1,36,0,1
38425208,35000,35000,28,1120,13433,1,1,36,1,2
38426632,20000,20000,28,649,7137,1,1,36,1,0
38426736,12000,12000,18,308,3366,1,1,60,1,1
38426884,4000,4000,18,145,41913,1,0,36,0,1
38427284,3500,3500,23,137,1534,1,0,36,1,2
38427408,17425,17425,14,408,4871,1,1,60,1,1
38427712,14000,14000,28,293,3509,1,1,60,1,1
38428096,35000,35000,18,899,10716,1,1,60,1,1
38428632,8000,8000,14,277,8569,1,1,60,1,1
38428668,3500,3500,28,116,1276,1,1,36,1,1
38429476,4575,1000,16,161,5090,1,1,36,1,1
38429496,1500,1500,28,50,604,1,1,36,0,1
38429688,8275,8275,15,289,3463,0,1,36,1,1
38434284,4250,4250,13,144,1731,1,1,36,0,3
38434336,1000,1000,15,35,420,1,1,36,0,1
38434392,6000,6000,28,199,41913,1,1,36,0,1
38434416,10000,10000,15,349,4177,1,0,36,0,1
38434648,5000,5000,28,160,1916,1,1,36,0,1
38435128,15000,15000,28,329,3943,1,1,60,0,1
38435160,35000,35000,19,1372,15409,1,1,36,1,2
38435224,35000,35000,15,1223,6321,1,0,36,1,1
38435516,17925,17925,28,1372,7172,1,1,36,1,1
38435632,21500,21500,13,496,5428,1,1,60,1,1
38436092,5000,5000,28,154,1850,1,1,36,0,2
38436312,21200,21200,14,727,8716,1,1,36,1,3
38436312,16800,16800,28,368,4400,1,1,60,1,3
38436472,12000,12000,28,272,3267,1,1,60,1,1
38436492,10000,10000,13,340,2713,1,1,36,1,1
38436496,10000,10000,28,314,3766,1,1,36,1,2
38437176,13000,1000,28,408,13896,1,1,36,0,1
38437584,34500,34500,13,1372,9507,1,1,60,1,1
38439104,35000,35000,13,1190,36584,1,1,36,0,1
38439596,15000,15000,28,322,3528,1,1,60,1,1
38439668,11200,11200,15,272,41913,1,1,60,1,1
38439760,3250,3250,17,1372,1286,1,1,36,1,1
38439892,17500,17500,21,1372,5777,1,1,60,1,1
38444940,11850,11850,28,399,4782,1,1,60,1,1
38445484,35000,5000,23,196,777,1,0,36,1,1
38445584,19475,19475,17,702,8413,1,1,36,1,1
38446092,34875,34875,18,1372,37756,1,1,60,1,4
38446336,15000,15000,15,361,4325,1,1,60,1,2
38447760,12000,12000,15,1372,3490,1,1,60,0,2
38448056,20000,20000,28,622,7456,0,1,36,1,3
38448056,14000,14000,13,323,3912,1,1,60,1,1
38448212,8000,1000,28,253,3034,1,1,36,0,1
38448348,10000,10000,28,334,41913,1,1,36,0,3
38449284,9600,9600,28,307,3679,1,1,36,1,1
38449344,25150,25150,28,835,41913,1,1,36,1,3
38449504,35000,5000,28,168,2014,1,1,36,0,1
38450496,12000,12000,13,277,3316,1,1,60,1,3
38454680,8000,8000,28,269,8692,1,1,36,0,1
38455220,28000,28000,28,864,11318,1,1,36,1,1
38455360,11000,11000,28,226,2713,1,0,60,1,1
38455424,20000,20000,17,506,5530,1,1,60,1,1
38455672,10000,10000,28,334,3682,1,1,36,1,3
38455740,15000,15000,28,471,7193,1,1,36,1,3
38456608,19775,19775,17,492,5896,1,0,60,1,1
38456848,12000,12000,28,404,4842,0,1,36,0,2
38456880,7500,7500,28,240,2638,1,1,36,0,0
38457484,15000,15000,28,498,3975,1,0,36,1,1
38457560,21000,21000,16,743,22714,1,1,36,1,1
38457668,5000,5000,14,173,2071,1,1,36,0,1
38458680,6000,6000,28,192,2299,1,1,60,1,1
38458784,18000,18000,28,551,6606,1,1,36,0,3
38459356,10000,10000,28,336,10796,1,1,36,1,3
38459728,35000,23400,28,749,8981,1,1,36,1,1
38459800,10975,10975,28,1372,4077,1,1,36,1,1
38464728,25000,25000,28,771,9252,1,1,36,1,3
38465064,11950,11950,28,439,5311,1,1,36,0,3
38465136,22000,22000,19,573,6859,1,1,60,1,3
38465472,5000,5000,28,162,1294,1,0,36,1,1
38465876,30000,30000,17,759,9054,1,1,60,0,1
38467100,2400,2400,28,76,921,1,0,36,0,1
38467120,8400,8400,13,285,3415,1,1,36,0,1
38467316,1200,1200,28,37,455,1,1,36,0,2
38467856,10000,10000,28,336,11072,1,1,36,0,3
38468648,9000,9000,28,292,3499,1,1,36,0,1
38469312,35000,12000,15,289,3460,1,1,60,1,3
38469624,35000,24500,13,565,6752,1,1,60,1,1
38470016,10000,10000,28,332,3968,1,1,36,0,2
38474256,4000,4000,14,137,1641,1,1,36,0,2
38474544,23275,1000,13,537,6414,1,1,60,1,1
38476232,10200,10200,13,346,4155,1,1,36,1,1
38476464,20000,20000,14,475,5729,1,1,60,1,0
38477212,15000,15000,17,373,4472,1,0,60,1,3
38477292,23700,23700,28,1372,9228,1,1,36,1,1
38477420,30000,30000,28,629,7543,1,1,60,1,1
38477648,25000,1000,28,842,26429,1,1,36,1,3
38477892,15000,15000,16,1372,17117,1,1,60,1,1
38478412,12000,12000,13,277,3030,1,1,60,1,0
38478640,11950,11950,19,316,3468,1,1,60,1,1
38479224,15000,15000,28,480,5268,1,1,36,1,1
38479272,25000,25000,28,577,6331,1,1,60,1,3
38479560,17400,17400,28,565,6228,1,1,36,0,2
38479776,23475,23475,28,621,7435,1,1,60,1,3
38480060,9400,9400,14,322,3876,1,1,36,0,0
38480400,24000,24000,14,562,6700,1,1,60,1,1
38484480,2000,2000,28,65,794,0,1,36,1,1
38484680,8000,8000,28,265,8739,1,1,60,0,1
38485780,13375,13375,25,397,41913,1,1,60,1,2
38494184,5000,5000,28,167,1997,1,1,36,0,3
38494616,15000,15000,28,456,5468,1,1,36,0,1
38495020,17000,17000,28,1372,18115,1,1,36,1,1
38495196,25000,25000,20,676,8041,1,1,60,1,1
38495840,18500,18500,28,585,7007,1,1,36,1,1
38496080,8000,8000,28,265,3174,1,1,36,1,2
38496712,20000,20000,28,640,7676,1,1,36,1,1
38497608,10500,10500,28,220,11240,1,1,60,1,1
38497752,3250,3250,15,113,1357,1,1,36,0,2
38498200,25000,25000,28,555,41913,1,1,60,1,2
38498304,16325,16325,15,393,4313,1,1,60,1,2
38498680,20000,20000,28,1372,21053,1,1,60,1,2
38500336,5000,5000,28,168,5331,1,1,36,0,1
38504696,25000,25000,28,549,6572,1,1,60,1,1
38504904,28000,28000,28,576,6907,1,1,60,1,1
38505704,21000,21000,28,440,5280,1,1,60,1,2
38505864,8000,8000,28,259,3115,1,1,60,0,1
38506488,1600,1600,14,54,657,1,1,36,0,0
38506528,18150,18150,28,398,4361,1,1,60,1,0
38507184,22500,22500,28,720,7903,1,1,36,1,1
38507636,5450,5450,28,167,2002,1,1,36,0,1
38508136,25000,25000,28,785,9415,1,1,36,1,2
38508252,12000,12000,28,365,4396,1,1,36,0,1
38508580,10000,10000,19,260,2857,1,1,60,1,1
38509088,8650,8650,19,321,3837,1,1,36,0,2
38509240,8000,8000,28,265,8382,1,1,36,1,1
38509948,12000,12000,14,411,4512,1,1,36,1,1
38515016,6000,6000,28,199,2187,1,1,36,1,1
38515864,1200,1200,13,40,488,1,1,36,1,0
38516012,35000,18000,28,366,4391,1,1,60,1,1
38516056,5000,5000,16,177,2119,0,1,36,1,1
38517448,35000,4000,14,138,1660,1,1,36,1,1
38518136,27750,27750,19,723,29499,1,0,60,1,2
38518156,13750,13750,28,450,4492,2,1,36,1,1
38518808,9500,9500,28,295,3541,1,1,36,0,1
38519040,10000,10000,15,243,2899,1,1,60,1,0
38519064,20000,20000,28,608,7297,1,1,36,1,3
38519068,22000,22000,28,453,4974,1,1,60,1,1
38519244,15000,15000,28,456,5473,1,1,36,0,1
38519328,21575,21575,14,747,8207,1,1,36,1,1
38519744,16000,16000,28,493,5427,2,1,60,1,1
38519840,2500,2500,28,76,917,0,1,36,1,3
38520208,35000,35000,28,768,9168,1,1,60,1,1
38524352,10400,10400,28,1372,3939,1,1,36,0,1
38524612,15000,15000,28,557,6114,2,1,36,1,3
38525080,12000,12000,28,365,4394,1,1,36,0,2
38525760,16000,16000,13,369,4409,1,1,60,0,3
38525848,8000,8000,28,248,2982,1,1,36,0,3
38526032,35000,15000,18,385,6594,1,1,60,1,1
38526448,11300,11300,28,348,3852,1,1,36,0,4
38527248,12000,12000,28,400,12720,1,1,60,1,1
38527440,13900,1000,14,477,5237,1,1,36,1,1
38528336,20400,20400,15,495,5933,1,1,60,1,3
38528664,14350,14350,20,388,4624,1,1,60,1,1
38529136,20000,20000,28,617,6784,1,0,36,1,2
38529136,4800,4800,14,164,1973,1,1,36,0,3
38534196,9000,9000,14,308,3700,1,1,36,1,1
38534444,16000,16000,28,490,5872,1,1,36,0,1
38534584,5600,5600,14,194,2319,1,1,36,1,0
38534728,16000,16000,28,497,5958,1,1,36,0,3
38534884,9000,9000,28,277,3330,1,1,36,0,1
38535012,16000,16000,28,359,4286,1,1,60,1,1
